gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points,played,in_dreamteam
2,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,536,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,537,31,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,4,True,False
2,538,82,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,1,True,False
2,539,74,1,2,0,2,0,0,0,0,0,0,1,0,0,2,0,13,True,True
2,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,541,65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,True,False
2,542,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,True,False
2,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,544,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,True,False
2,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,546,90,1,0,0,2,0,0,0,1,0,0,0,2,1,0,7,9,True,False
2,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,548,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,2,True,False
2,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,550,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,True,False
2,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,552,90,0,0,0,3,0,0,0,1,0,0,0,0,0,0,8,0,True,False
